Date,Open,High,Low,Close,Adj Close,Volume
2016-05-20,3.900000,3.995000,3.880000,3.970000,3.223737,492132
2016-05-23,3.990000,4.020000,3.950000,4.000000,3.248097,409481
2016-05-24,4.010000,4.030000,3.960000,4.010000,3.256218,418675
2016-05-25,4.080000,4.180000,4.030000,4.150000,3.369901,867505
2016-05-26,4.150000,4.150000,4.050000,4.120000,3.345540,659335
2016-05-27,4.140000,4.160000,4.090000,4.150000,3.369901,432395
2016-05-30,4.150000,4.200000,4.130000,4.180000,3.394262,350123
2016-05-31,4.190000,4.200000,4.150000,4.190000,3.402382,657717
2016-06-01,4.130000,4.190000,4.080000,4.090000,3.321179,427922
2016-06-02,4.070000,4.120000,4.030000,4.040000,3.280578,412994
2016-06-03,4.100000,4.200000,4.100000,4.150000,3.369901,446581
2016-06-06,4.160000,4.240000,4.110000,4.210000,3.418623,498568
2016-06-07,4.200000,4.250000,4.150000,4.240000,3.442983,557850
2016-06-08,4.220000,4.290000,4.210000,4.260000,3.459224,555706
2016-06-09,4.270000,4.280000,4.210000,4.250000,3.451104,411707
2016-06-10,4.240000,4.280000,4.200000,4.260000,3.459224,548831
2016-06-14,4.230000,4.240000,4.130000,4.180000,3.394262,751904
2016-06-15,4.180000,4.230000,4.170000,4.190000,3.402382,318596
2016-06-16,4.230000,4.230000,4.110000,4.130000,3.353661,498951
2016-06-17,4.140000,4.150000,4.110000,4.140000,3.361781,368607
2016-06-20,4.130000,4.220000,4.130000,4.200000,3.410501,518966
2016-06-21,4.190000,4.240000,4.170000,4.190000,3.402382,590957
2016-06-22,4.180000,4.220000,4.150000,4.160000,3.378021,497347
2016-06-23,4.170000,4.180000,4.090000,4.090000,3.321179,554636
2016-06-24,4.110000,4.130000,3.880000,3.940000,3.199376,991587
2016-06-27,3.920000,4.040000,3.910000,4.010000,3.256218,554708
2016-06-28,3.990000,3.990000,3.910000,3.950000,3.207496,607546
2016-06-29,3.990000,3.990000,3.880000,3.890000,3.158774,777479
2016-06-30,3.920000,4.000000,3.890000,3.980000,3.231857,568048
2016-07-01,4.000000,4.080000,4.000000,4.060000,3.296819,492278
2016-07-04,4.030000,4.150000,4.020000,4.150000,3.369901,315970
2016-07-05,4.150000,4.150000,4.070000,4.100000,3.329300,525128
2016-07-06,4.100000,4.140000,4.070000,4.090000,3.321179,647000
2016-07-07,4.100000,4.210000,4.100000,4.210000,3.418623,476597
2016-07-08,4.200000,4.300000,4.170000,4.300000,3.491704,523188
2016-07-11,4.350000,4.400000,4.330000,4.360000,3.540426,637764
2016-07-12,4.390000,4.390000,4.305000,4.330000,3.516065,561794
2016-07-13,4.330000,4.380000,4.260000,4.270000,3.467344,726153
2016-07-14,4.250000,4.300000,4.160000,4.180000,3.394262,933586
2016-07-15,4.160000,4.160000,4.040000,4.050000,3.288698,608069
2016-07-18,4.070000,4.100000,4.000000,4.040000,3.280578,782991
2016-07-19,4.030000,4.110000,4.025000,4.100000,3.329300,347280
2016-07-20,4.070000,4.170000,4.070000,4.120000,3.345540,682600
2016-07-21,4.190000,4.190000,4.090000,4.110000,3.337420,615666
2016-07-22,4.120000,4.120000,4.030000,4.080000,3.313059,401196
2016-07-25,4.080000,4.120000,4.060000,4.110000,3.337420,250134
2016-07-26,4.120000,4.150000,4.100000,4.110000,3.337420,274312
2016-07-27,4.060000,4.110000,4.060000,4.060000,3.296819,463943
2016-07-28,4.070000,4.150000,4.070000,4.110000,3.337420,410704
2016-07-29,4.120000,4.170000,4.110000,4.120000,3.345540,458591
2016-08-01,4.160000,4.165000,4.100000,4.120000,3.345540,343835
2016-08-02,4.130000,4.150000,4.095000,4.100000,3.329300,366623
2016-08-03,4.100000,4.110000,4.050000,4.080000,3.313059,626663
2016-08-04,4.100000,4.100000,4.050000,4.070000,3.304939,357327
2016-08-05,4.080000,4.120000,4.065000,4.100000,3.329300,1947233
2016-08-08,4.110000,4.130000,4.080000,4.110000,3.337420,349212
2016-08-09,4.120000,4.120000,4.050000,4.070000,3.304939,413546
2016-08-10,4.070000,4.090000,4.015000,4.050000,3.288698,489737
2016-08-11,4.050000,4.050000,3.965000,3.990000,3.239977,523736
2016-08-12,4.020000,4.040000,3.980000,3.990000,3.239977,620513
2016-08-15,4.000000,4.040000,3.970000,4.010000,3.256218,470479
2016-08-16,4.010000,4.010000,3.920000,3.920000,3.183135,641871
2016-08-17,3.940000,3.960000,3.920000,3.920000,3.183135,447990
2016-08-18,3.920000,3.970000,3.910000,3.950000,3.207496,669652
2016-08-19,3.950000,4.180000,3.910000,4.170000,3.386141,2201500
2016-08-22,4.200000,4.380000,4.110000,4.140000,3.361781,1192929
2016-08-23,4.170000,4.270000,4.160000,4.200000,3.410501,1486011
2016-08-24,4.200000,4.280000,4.150000,4.270000,3.467344,529283
2016-08-25,4.250000,4.290000,4.210000,4.230000,3.434863,574384
2016-08-26,4.220000,4.220000,4.160000,4.180000,3.394262,427242
2016-08-29,4.160000,4.180000,4.075000,4.090000,3.321179,361514
2016-08-30,4.110000,4.120000,4.030000,4.090000,3.321179,459918
2016-08-31,4.090000,4.090000,3.980000,4.090000,3.321179,539711
2016-09-01,4.080000,4.150000,4.060000,4.150000,3.369901,389049
2016-09-02,4.110000,4.140000,4.050000,4.070000,3.304939,407956
2016-09-05,4.070000,4.100000,4.020000,4.080000,3.313059,270757
2016-09-06,4.080000,4.130000,4.050000,4.100000,3.329300,341638
2016-09-07,4.070000,4.130000,4.070000,4.090000,3.321179,386139
2016-09-08,3.990000,3.990000,3.915000,3.950000,3.267412,337658
2016-09-09,3.950000,3.950000,3.900000,3.910000,3.234324,655542
2016-09-12,3.900000,3.930000,3.870000,3.880000,3.209508,980655
2016-09-13,3.910000,3.960000,3.875000,3.910000,3.234324,381951
2016-09-14,3.970000,4.010000,3.890000,3.960000,3.275684,676361
2016-09-15,3.870000,3.920000,3.810000,3.890000,3.217780,845449
2016-09-16,3.910000,3.950000,3.900000,3.940000,3.259140,452341
2016-09-19,3.930000,3.950000,3.890000,3.920000,3.242596,105822
2016-09-20,3.890000,3.910000,3.840000,3.870000,3.201236,420575
2016-09-21,3.860000,4.010000,3.860000,3.970000,3.283956,528356
2016-09-22,3.980000,4.010000,3.930000,3.960000,3.275684,310377
2016-09-23,3.990000,4.070000,3.980000,4.060000,3.358403,294033
2016-09-26,4.030000,4.090000,4.010000,4.060000,3.358403,216842
2016-09-27,4.030000,4.100000,4.020000,4.090000,3.383219,332027
2016-09-28,4.090000,4.095000,4.030000,4.060000,3.358403,242008
2016-09-29,4.090000,4.090000,4.030000,4.080000,3.374947,325315
2016-09-30,4.060000,4.080000,4.030000,4.030000,3.333587,362855
2016-10-03,4.060000,4.100000,4.050000,4.080000,3.374947,133550
2016-10-04,4.050000,4.090000,4.040000,4.080000,3.374947,333776
2016-10-05,4.070000,4.070000,3.980000,4.000000,3.308772,402278
2016-10-06,4.030000,4.090000,4.030000,4.050000,3.350132,309000
2016-10-07,4.050000,4.080000,4.010000,4.070000,3.366675,303327
2016-10-10,4.080000,4.090000,4.050000,4.050000,3.350132,159436
2016-10-11,4.070000,4.150000,4.070000,4.120000,3.408034,529841
2016-10-12,4.120000,4.140000,4.040000,4.060000,3.358403,647878
2016-10-13,4.020000,4.040000,3.950000,3.970000,3.283956,749408
2016-10-14,3.990000,4.020000,3.975000,3.990000,3.300500,212190
2016-10-17,3.990000,3.990000,3.900000,3.930000,3.250868,649568
2016-10-18,3.930000,3.930000,3.900000,3.900000,3.226053,396380
2016-10-19,3.920000,3.930000,3.890000,3.900000,3.226053,528665
2016-10-20,3.900000,3.950000,3.895000,3.940000,3.259140,887769
2016-10-21,3.950000,3.980000,3.930000,3.970000,3.283956,409059
2016-10-24,3.970000,4.010000,3.950000,4.010000,3.317044,415403
2016-10-25,3.980000,4.005000,3.960000,4.000000,3.308772,182190
2016-10-26,3.970000,3.980000,3.920000,3.930000,3.250868,745797
2016-10-27,3.920000,3.950000,3.900000,3.900000,3.226053,945546
2016-10-28,3.950000,3.950000,3.890000,3.900000,3.226053,831884
2016-10-31,3.840000,3.880000,3.775000,3.850000,3.184692,1132038
2016-11-01,3.750000,3.810000,3.735000,3.760000,3.110245,961846
2016-11-02,3.740000,3.825000,3.680000,3.820000,3.159877,1467908
2016-11-03,3.850000,3.850000,3.780000,3.790000,3.135061,305697
2016-11-04,3.790000,3.810000,3.785000,3.800000,3.143333,394323
2016-11-07,3.800000,3.820000,3.720000,3.730000,3.085429,861066
2016-11-08,3.750000,3.770000,3.720000,3.750000,3.101974,490711
2016-11-09,3.750000,3.800000,3.700000,3.740000,3.093701,1065004
2016-11-10,3.760000,3.820000,3.720000,3.740000,3.093701,412311
2016-11-11,3.750000,3.770000,3.710000,3.750000,3.101974,359323
2016-11-14,3.790000,3.790000,3.750000,3.770000,3.118517,414567
2016-11-15,3.770000,3.800000,3.720000,3.740000,3.093701,259219
2016-11-16,3.740000,3.760000,3.730000,3.750000,3.101974,165666
2016-11-17,3.730000,3.765000,3.730000,3.750000,3.101974,350605
2016-11-18,3.750000,3.780000,3.720000,3.760000,3.110245,276863
2016-11-21,3.760000,3.770000,3.720000,3.730000,3.085429,246584
2016-11-22,3.730000,3.800000,3.730000,3.800000,3.143333,331238
2016-11-23,3.780000,3.810000,3.770000,3.800000,3.143333,245575
2016-11-24,3.820000,3.820000,3.780000,3.820000,3.159877,250285
2016-11-25,3.830000,3.870000,3.810000,3.860000,3.192965,273254
2016-11-28,3.880000,3.890000,3.830000,3.850000,3.184692,318922
2016-11-29,3.840000,3.870000,3.810000,3.840000,3.176421,494715
2016-11-30,3.910000,3.910000,3.790000,3.820000,3.159877,1104271
2016-12-01,3.820000,3.900000,3.805000,3.900000,3.226053,731862
2016-12-02,3.910000,3.950000,3.890000,3.930000,3.250868,668169
2016-12-05,3.930000,3.980000,3.930000,3.940000,3.259140,1258394
2016-12-06,3.960000,3.990000,3.950000,3.960000,3.275684,1005790
2016-12-07,3.990000,4.010000,3.930000,3.940000,3.259140,725605
2016-12-08,3.950000,3.980000,3.930000,3.970000,3.283956,393183
2016-12-09,3.970000,4.010000,3.950000,4.000000,3.308772,495924
2016-12-12,4.010000,4.040000,3.990000,3.990000,3.300500,688662
2016-12-13,4.000000,4.060000,4.000000,4.040000,3.341859,532748
2016-12-14,4.040000,4.050000,3.970000,3.990000,3.300500,836413
2016-12-15,3.990000,4.040000,3.970000,4.000000,3.308772,563268
2016-12-16,4.000000,4.030000,4.000000,4.010000,3.317044,301284
2016-12-19,4.010000,4.040000,3.940000,3.940000,3.259140,562472
2016-12-20,3.980000,4.020000,3.955000,4.010000,3.317044,345509
2016-12-21,4.000000,4.040000,3.990000,4.020000,3.325315,409487
2016-12-22,4.040000,4.040000,4.000000,4.020000,3.325315,233694
2016-12-23,4.030000,4.060000,4.020000,4.040000,3.341859,188427
2016-12-28,4.070000,4.120000,4.070000,4.110000,3.399763,281830
2016-12-29,4.120000,4.140000,4.090000,4.130000,3.416307,232622
2016-12-30,4.140000,4.160000,4.100000,4.150000,3.432851,156474
2017-01-03,4.180000,4.200000,4.160000,4.170000,3.449394,222963
2017-01-04,4.190000,4.200000,4.160000,4.200000,3.474210,369732
2017-01-05,4.200000,4.235000,4.170000,4.210000,3.482482,266182
2017-01-06,4.210000,4.220000,4.165000,4.200000,3.474210,237261
2017-01-09,4.210000,4.230000,4.180000,4.200000,3.474210,297079
2017-01-10,4.200000,4.225000,4.165000,4.170000,3.449394,201836
2017-01-11,4.210000,4.210000,4.150000,4.150000,3.432851,257477
2017-01-12,4.150000,4.170000,4.130000,4.140000,3.424578,295118
2017-01-13,4.170000,4.170000,4.120000,4.120000,3.408034,242872
2017-01-16,4.130000,4.230000,4.130000,4.200000,3.474210,397873
2017-01-17,4.200000,4.270000,4.190000,4.210000,3.482482,503988
2017-01-18,4.170000,4.200000,4.020000,4.040000,3.341859,509099
2017-01-19,4.020000,4.110000,4.020000,4.060000,3.358403,311533
2017-01-20,4.070000,4.110000,4.030000,4.060000,3.358403,487748
2017-01-23,4.080000,4.150000,4.050000,4.150000,3.432851,499708
2017-01-24,4.180000,4.310000,4.160000,4.270000,3.532114,1131582
2017-01-25,4.300000,4.640000,4.285000,4.510000,3.730640,1405033
2017-01-27,4.510000,4.750000,4.470000,4.750000,3.929167,1145526
2017-01-30,4.700000,4.810000,4.670000,4.780000,3.953982,1765375
2017-01-31,4.700000,4.770000,4.570000,4.620000,3.821631,3398945
2017-02-01,4.550000,4.620000,4.500000,4.580000,3.788543,768281
2017-02-02,4.580000,4.630000,4.470000,4.500000,3.722368,660452
2017-02-03,4.500000,4.550000,4.455000,4.480000,3.705825,847368
2017-02-06,4.520000,4.590000,4.480000,4.500000,3.722368,796243
2017-02-07,4.430000,4.500000,4.390000,4.480000,3.705825,684144
2017-02-08,4.500000,4.560000,4.390000,4.400000,3.639649,1395424
2017-02-09,4.380000,4.500000,4.360000,4.440000,3.672737,978020
2017-02-10,4.390000,4.490000,4.380000,4.480000,3.705825,527386
2017-02-13,4.480000,4.490000,4.370000,4.490000,3.714096,758379
2017-02-14,4.490000,4.495000,4.420000,4.430000,3.664465,534739
2017-02-15,4.480000,4.550000,4.440000,4.490000,3.714096,990817
2017-02-16,4.550000,4.550000,4.430000,4.480000,3.705825,596469
2017-02-17,4.500000,4.500000,4.400000,4.410000,3.647920,719295
2017-02-20,4.410000,4.500000,4.390000,4.480000,3.705825,504653
2017-02-21,4.500000,4.500000,4.370000,4.400000,3.639649,712415
2017-02-22,4.890000,4.890000,4.560000,4.610000,3.813359,4044459
2017-02-23,4.700000,4.900000,4.685000,4.830000,3.995341,2109864
2017-02-24,4.840000,4.940000,4.730000,4.750000,3.929167,2098827
2017-02-27,4.790000,4.815000,4.690000,4.790000,3.962254,1721152
2017-02-28,4.800000,4.875000,4.750000,4.780000,3.953982,1729439
2017-03-01,4.850000,4.920000,4.800000,4.900000,4.053246,1333621
2017-03-02,4.900000,4.900000,4.900000,4.900000,4.053246,0
2017-03-03,4.600000,4.760000,4.430000,4.450000,3.681008,4304512
2017-03-06,4.480000,4.550000,4.475000,4.530000,3.747184,2561050
2017-03-07,4.530000,4.550000,4.480000,4.530000,3.747184,1101292
2017-03-08,4.500000,4.520000,4.420000,4.470000,3.697552,1531586
2017-03-09,4.410000,4.440000,4.360000,4.440000,3.672737,1514536
2017-03-10,4.420000,4.550000,4.420000,4.500000,3.722368,1878594
2017-03-13,4.500000,4.530000,4.450000,4.490000,3.714096,1168037
