Date,Open,High,Low,Close,Adj Close,Volume
2016-05-20,6.840000,6.980000,6.810000,6.980000,5.455009,159525
2016-05-23,7.000000,7.050000,6.920000,6.980000,5.455009,199265
2016-05-24,6.900000,6.960000,6.880000,6.940000,5.423748,143227
2016-05-25,7.000000,7.270000,7.000000,7.240000,5.658205,398789
2016-05-26,7.240000,7.290000,7.050000,7.070000,5.525346,388792
2016-05-27,7.100000,7.230000,7.100000,7.190000,5.619128,280491
2016-05-30,7.190000,7.190000,7.070000,7.130000,5.572238,258459
2016-05-31,7.050000,7.120000,6.990000,7.090000,5.540976,318020
2016-06-01,7.000000,7.100000,6.910000,6.910000,5.400302,361589
2016-06-02,6.910000,7.040000,6.820000,6.830000,5.337781,428302
2016-06-03,6.910000,7.000000,6.790000,6.810000,5.322151,304286
2016-06-06,6.770000,6.815000,6.740000,6.780000,5.298704,219208
2016-06-07,6.800000,7.000000,6.790000,6.960000,5.439378,335063
2016-06-08,6.840000,7.040000,6.820000,6.890000,5.384672,273522
2016-06-09,6.900000,6.980000,6.900000,6.940000,5.423748,237239
2016-06-10,6.900000,6.920000,6.760000,6.800000,5.314335,223922
2016-06-14,6.740000,6.790000,6.690000,6.700000,5.236183,301657
2016-06-15,6.630000,6.740000,6.620000,6.690000,5.228368,439219
2016-06-16,6.890000,6.890000,6.690000,6.690000,5.228368,391768
2016-06-17,6.740000,6.800000,6.670000,6.710000,5.243998,316489
2016-06-20,6.800000,6.820000,6.720000,6.820000,5.329966,152560
2016-06-21,6.760000,6.920000,6.760000,6.830000,5.337781,422245
2016-06-22,6.830000,6.850000,6.740000,6.810000,5.322151,98832
2016-06-23,6.800000,6.820000,6.660000,6.780000,5.298704,140967
2016-06-24,6.840000,6.900000,6.540000,6.580000,5.142401,336854
2016-06-27,6.550000,6.870000,6.510000,6.800000,5.314335,188234
2016-06-28,6.800000,6.810000,6.620000,6.670000,5.212738,301676
2016-06-29,6.790000,6.790000,6.660000,6.720000,5.251813,467069
2016-06-30,6.790000,6.960000,6.790000,6.870000,5.369041,178977
2016-07-01,6.890000,6.930000,6.730000,6.750000,5.275259,366310
2016-07-04,6.750000,6.770000,6.710000,6.740000,5.267445,371206
2016-07-05,6.740000,6.750000,6.670000,6.670000,5.212738,356008
2016-07-06,6.700000,6.990000,6.650000,6.940000,5.423748,358810
2016-07-07,6.980000,7.130000,6.970000,7.090000,5.540976,354666
2016-07-08,7.100000,7.170000,7.090000,7.140000,5.580052,160096
2016-07-11,7.190000,7.280000,7.110000,7.150000,5.587867,370053
2016-07-12,7.140000,7.190000,7.105000,7.120000,5.564421,197817
2016-07-13,7.210000,7.220000,7.090000,7.110000,5.556607,328969
2016-07-14,7.120000,7.200000,7.000000,7.000000,5.470639,528983
