Date,Prediction
03-Jun,3.718291229
04-Jun,3.719788575
05-Jun,3.722638788
08-Jun,3.726287289
09-Jun,3.730143604
10-Jun,3.733844656
11-Jun,3.737205086
12-Jun,3.740149957
15-Jun,3.742666168
16-Jun,3.744775965
17-Jun,3.746519616
18-Jun,3.74794421
19-Jun,3.749097931
22-Jun,3.750025071
23-Jun,3.750764667
24-Jun,3.751349751
25-Jun,3.751807486
26-Jun,3.752160257
29-Jun,3.75242608
30-Jun,3.752620107
01-Jul,3.752754622
02-Jul,3.752840409
03-Jul,3.752886272
06-Jul,3.75289958
07-Jul,3.752887568
08-Jul,3.75285556
09-Jul,3.752808538
10-Jul,3.752750391
13-Jul,3.752684942
14-Jul,3.752614784
