Date,Prediction
03-06,3.7356127985590533
04-06,3.737927621864344
05-06,3.745362834050333
08-06,3.7552809152817517
09-06,3.7652586649281474
10-06,3.774414925274016
11-06,3.7827593704501297
12-06,3.790516399699662
15-06,3.7978511497583938
16-06,3.8048466287274323
17-06,3.8115448480418124
18-06,3.8179769272830413
19-06,3.824172971263664
22-06,3.830160311094396
23-06,3.8359629629740084
24-06,3.8416015605380665
25-06,3.847093287207663
26-06,3.8524529586096463
29-06,3.857694781509487
30-06,3.8628315419961083
01-07,3.8678760261584344
02-07,3.872841155387917
03-07,3.877739377517159
06-07,3.882583952193933
07-07,3.887387868460955
08-07,3.8921642506634697
09-07,3.896926561403042
10-07,3.901688330932501
13-07,3.9064632924584686
14-07,3.9112648409312456
