Date,Prediction
03-06,4.242954591707928
04-06,4.243005736063623
05-06,4.243030767031357
08-06,4.2430436207715445
09-06,4.24305187422577
10-06,4.2430582334446
11-06,4.24306296903309
12-06,4.2430667575038825
15-06,4.243069734159505
16-06,4.243072034302486
17-06,4.24307406384041
18-06,4.243075416865693
19-06,4.243076634588448
22-06,4.243077581706146
23-06,4.243078258218787
24-06,4.2430787994289005
25-06,4.243079340639014
26-06,4.243079746546599
29-06,4.2430801524541835
30-06,4.24308042305924
01-07,4.24308042305924
02-07,4.243080693664297
03-07,4.243080828966825
06-07,4.243080964269353
07-07,4.243080964269353
08-07,4.2430810995718815
09-07,4.24308123487441
10-07,4.24308123487441
13-07,4.243081370176938
14-07,4.243081370176938
