Date,Prediction
04-06,3.7356127985590533
05-06,3.737927621864344
08-06,3.745362834050333
09-06,3.7552809152817517
10-06,3.7652586649281474
11-06,3.774414925274016
12-06,3.7827593704501297
15-06,3.790516399699662
16-06,3.7978511497583938
17-06,3.8048466287274323
18-06,3.8115448480418124
19-06,3.8179769272830413
22-06,3.824172971263664
23-06,3.830160311094396
24-06,3.8359629629740084
25-06,3.8416015605380665
26-06,3.847093287207663
29-06,3.8524529586096463
30-06,3.857694781509487
01-07,3.8628315419961083
02-07,3.8678760261584344
03-07,3.872841155387917
06-07,3.877739377517159
07-07,3.882583952193933
08-07,3.887387868460955
09-07,3.8921642506634697
10-07,3.896926561403042
13-07,3.901688330932501
14-07,3.9064632924584686
15-07,3.9112648409312456
