Date,Prediction
04-06,3.696176508893984
05-06,3.705192325215485
08-06,3.712968635075299
09-06,3.71928881912563
10-06,3.724105183225255
11-06,3.7275021561518287
12-06,3.7297958046114417
15-06,3.7312422562901517
16-06,3.7320408794633977
17-06,3.7323503163456024
18-06,3.732305192952417
19-06,3.7320185545462294
22-06,3.731584301081675
23-06,3.731077254856899
24-06,3.7305531605135585
25-06,3.73005145873865
26-06,3.7295972481511726
29-06,3.729204600214068
30-06,3.7288786564234115
01-07,3.7286189432203543
02-07,3.7284204544113493
03-07,3.728276424869982
06-07,3.728178398188234
07-07,3.7281179856093516
08-07,3.728087136632901
09-07,3.72807847727109
10-07,3.728085715956354
13-07,3.7281035758900885
14-07,3.7281279979964452
15-07,3.7281554644096886
