Date,Prediction
09-06,3.7384799267848337
10-06,3.741180362295758
11-06,3.74357907316859
12-06,3.745348153726013
15-06,3.7464005367910715
16-06,3.746768086109178
17-06,3.7465248798145723
18-06,3.7457596087145504
19-06,3.744570367142124
22-06,3.7430624881155694
23-06,3.7413468520568216
24-06,3.7395320392448355
25-06,3.7377187147606605
26-06,3.735993472222404
29-06,3.734425857129608
30-06,3.733065931417741
01-07,3.7319450176221025
02-07,3.7310773225081633
03-07,3.730462169563282
06-07,3.730086637396006
07-07,3.7299290776018097
08-07,3.7299618884649206
09-07,3.7301534091937185
10-07,3.7304713024839415
13-07,3.730882825123743
14-07,3.7313572634392003
15-07,3.731866609806957
16-07,3.7323859685618075
17-07,3.732894300160602
20-07,3.733374015274663
